,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
372,Asosa,39,ET,1577743192,32,10.07,34.53,72.01,6.29
373,Waycross,1,US,1577743146,39,31.21,-82.35,68.0,6.93
374,Jiuquan,0,CN,1577743194,35,39.73,98.49,18.61,6.55
375,Sarkand,100,KZ,1577743196,97,45.41,79.91,25.12,0.4
376,Belmonte,0,PT,1577743197,82,40.36,-7.35,46.99,0.63
377,Saint-Joseph,0,FR,1577743198,93,43.56,6.97,45.0,5.82
378,Nouakchott,0,MR,1577743199,11,18.08,-15.98,69.8,10.29
379,Ust-Maya,100,RU,1577743201,95,60.42,134.54,-31.32,1.92
380,Fraga,90,ES,1577743202,100,41.52,0.35,39.2,4.7
381,Pecos,1,US,1577743204,21,31.42,-103.49,53.01,4.12
382,Shalyhyne,100,UA,1577743206,81,51.58,34.1,29.21,20.13
383,High Level,75,CA,1577743207,92,58.52,-117.13,6.8,2.24
384,Ambon,90,FR,1577743208,100,47.55,-2.56,37.4,2.24
385,Waipawa,0,NZ,1577743209,62,-39.94,176.59,68.0,5.86
386,Bilma,0,NE,1577743211,33,18.69,12.92,57.4,8.25
387,Seoul,1,KR,1577742974,52,37.57,126.98,17.6,6.93
388,Windhoek,100,NA,1577743213,50,-22.57,17.08,75.2,5.82
389,Mbandaka,97,CD,1577743215,69,0.05,18.26,76.37,1.9
390,Kamaishi,49,JP,1577743216,84,39.28,141.86,46.35,11.16
391,Airai,100,TL,1577743217,74,-8.93,125.41,68.81,0.72
392,Irbeyskoye,100,RU,1577743219,96,55.64,95.45,11.77,1.61
393,Quatre Cocos,75,MU,1577743220,94,-20.21,57.76,78.8,21.92
394,Belaya Gora,0,RU,1577743221,76,68.54,146.19,-31.25,1.57
395,Husavik,99,CA,1577743222,86,50.56,-96.99,18.0,10.0
396,Shingu,93,JP,1577743223,91,33.72,135.99,59.32,3.87
397,Orlik,0,PL,1577743224,48,53.95,17.74,42.8,20.8
398,Ouro Preto do Oeste,100,BR,1577743226,92,-10.75,-62.22,79.77,1.32
399,Vostok,100,RU,1577743228,98,46.45,135.83,-17.16,4.9
400,Areosa,40,PT,1577743231,93,41.72,-8.86,54.0,2.24
401,Horki,100,BY,1577743232,69,54.29,30.98,33.19,22.24
402,Chor,0,PK,1577743233,18,25.52,69.77,56.25,8.48
403,Hanumangarh,0,IN,1577743234,45,29.58,74.33,45.48,6.76
404,Salinopolis,100,BR,1577743235,82,-0.61,-47.36,81.14,16.96
405,Puerto Carreno,20,CO,1577742937,46,6.19,-67.49,93.2,4.7
406,Chake Chake,100,TZ,1577743238,78,-5.25,39.77,83.25,21.54
407,Batagay-Alyta,100,RU,1577743240,80,67.8,130.41,-19.82,2.73
408,Nikolskiy,88,RU,1577743241,92,60.92,34.06,36.19,10.69
409,Sao Joao da Barra,40,BR,1577743242,74,-21.64,-41.05,80.6,18.34
410,Riyadh,1,SA,1577743212,44,24.63,46.72,59.0,4.7
411,Pimentel,100,BR,1577743244,92,-3.7,-45.5,77.18,4.9
412,Avallon,11,FR,1577743247,95,47.49,3.91,30.99,1.54
413,Elliot Lake,90,CA,1577743248,97,46.37,-82.65,35.6,20.8
414,Raudeberg,40,NO,1577743249,81,61.99,5.14,42.8,26.4
415,Kasane,14,BW,1577743250,71,-17.8,25.16,73.8,4.5
416,Salalah,40,OM,1577743252,88,17.01,54.1,77.0,2.24
417,Koslan,100,RU,1577743253,93,63.46,48.9,21.07,11.3
418,Esperance,4,AU,1577743254,87,-33.86,121.89,51.8,5.82
419,Ako,40,JP,1577743256,93,34.79,134.38,55.0,4.7
420,Corinto,40,CO,1577742981,69,3.17,-76.26,78.8,11.41
421,Puerto Madryn,0,AR,1577743085,45,-42.77,-65.04,76.01,20.22
422,San Policarpo,79,PH,1577743260,79,12.18,125.51,80.15,14.23
423,Birjand,0,IR,1577743261,51,32.86,59.22,32.0,6.93
424,Purranque,20,CL,1577743211,49,-40.91,-73.16,73.4,9.17
425,Bangsund,100,NO,1577743263,78,64.4,11.39,42.01,15.99
426,Sao Filipe,62,CV,1577743264,63,14.9,-24.5,74.1,8.32
427,Marquette,90,US,1577743227,92,46.54,-87.4,32.0,9.17
428,Sabang,19,PH,1577743266,94,13.8,121.11,75.0,4.83
429,Clyde River,75,CA,1577743267,69,70.47,-68.59,-9.4,20.8
430,Fortuna,1,US,1577743050,81,40.6,-124.16,57.0,10.29
431,Coihaique,20,CL,1577743270,35,-45.58,-72.07,69.8,8.05
432,Lompoc,1,US,1577743271,48,34.64,-120.46,64.0,6.93
433,Lawrence,90,US,1577743272,64,38.97,-95.24,35.6,17.22
434,Sainte-Rose,90,CA,1577743273,92,45.61,-73.79,32.0,17.22
435,Port Antonio,40,JM,1577743274,74,18.18,-76.45,84.2,18.34
436,Sao Gotardo,100,BR,1577743275,9,-19.31,-46.05,72.0,2.39
437,Xichang,0,CN,1577743278,77,27.88,102.25,26.87,2.26
438,Geraldton,90,CA,1577743279,85,49.72,-86.95,15.8,16.11
439,Marsh Harbour,100,BS,1577743265,77,26.54,-77.06,76.35,12.12
440,Selenginsk,0,RU,1577743281,66,52.01,106.87,-31.0,8.3
441,Nome,1,US,1577743282,42,30.04,-94.42,64.0,13.87
442,Guantanamo,90,BO,1577743283,83,-16.14,-62.05,78.8,4.0
443,Comodoro Rivadavia,20,AR,1577743284,31,-45.87,-67.48,77.0,13.87
444,Dakoro,0,NE,1577743285,21,14.51,6.76,62.91,11.92
445,Bouna,0,CI,1577743286,15,9.27,-3.0,76.44,4.18
446,Izhma,100,RU,1577743288,92,65.01,53.91,16.27,16.08
447,Wanning,75,AT,1577743289,92,48.64,13.53,35.01,2.24
448,Santo Antonio do Sudoeste,92,BR,1577743290,65,-26.07,-53.73,75.45,8.9
449,Lasa,40,CY,1577743291,63,34.92,32.53,60.8,12.75
450,Tocopilla,0,CL,1577743292,24,-22.09,-70.2,74.14,10.8
451,Richards Bay,1,ZA,1577743294,84,-28.77,32.06,75.76,14.41
452,Huinan,0,CN,1577743295,87,42.68,126.04,-6.95,8.81
453,Khapa,75,IN,1577743296,55,21.42,78.98,62.6,3.36
454,Kichera,80,RU,1577743297,94,55.93,110.1,-12.19,2.55
455,Pascagoula,1,US,1577743302,44,30.37,-88.56,62.6,6.93
456,Tymovskoye,89,RU,1577743303,99,50.85,142.66,-3.55,2.1
457,Tiarei,75,PF,1577743304,70,-17.53,-149.33,86.0,17.22
458,Abu Dhabi,0,AE,1577743299,77,24.47,54.37,69.8,2.24
459,Navoi,0,IT,1577743306,66,46.17,11.83,35.01,3.36
460,Cururupu,100,BR,1577743308,93,-1.82,-44.87,76.44,2.75
461,Kastamonu,100,TR,1577743309,91,41.38,33.78,37.49,6.26
462,Sambava,100,MG,1577743310,89,-14.27,50.17,75.16,1.01
463,Spas,0,MK,1577743311,80,41.55,20.48,30.2,3.36
464,Lingao,100,CN,1577743312,91,19.91,109.69,71.29,16.13
465,Shubarshi,80,KZ,1577743313,96,48.59,57.19,12.76,6.6
466,Goderich,100,CA,1577743314,73,43.74,-81.71,39.0,20.22
467,Corumba,75,BR,1577743316,66,-19.0,-57.65,89.6,4.7
468,Tacuarembo,59,UY,1577743318,41,-31.73,-55.98,91.47,6.55
469,Lagos,7,NG,1577743262,83,6.46,3.39,77.0,2.24
470,San Vicente de Canete,86,PE,1577743320,84,-13.08,-76.38,71.15,8.3
471,Copperas Cove,1,US,1577743321,26,31.12,-97.9,60.01,6.93
472,Gigmoto,50,PH,1577743322,77,13.78,124.39,81.39,15.66
473,Trairi,100,BR,1577743195,72,-3.28,-39.27,79.29,5.35
474,Takoradi,65,GH,1577743324,78,4.89,-1.75,82.36,8.32
475,Cologne,0,DE,1577743098,59,50.94,6.96,45.0,2.24
476,Santa Isabel,90,MX,1577743326,46,32.63,-115.58,53.6,6.93
477,Qaqortoq,0,GL,1577743327,56,60.72,-46.03,12.2,6.93
478,Adiake,20,CI,1577743330,88,5.29,-3.3,82.4,2.24
479,Ahipara,4,NZ,1577743331,81,-35.17,173.16,63.37,16.22
480,Teknaf,77,BD,1577743332,84,20.86,92.31,58.71,1.68
481,Mareeba,41,AU,1577743333,69,-16.99,145.42,80.6,3.36
482,Egvekinot,0,RU,1577743334,87,66.32,-179.17,-26.77,7.76
483,Phan Thiet,0,VN,1577743335,89,10.93,108.1,69.12,2.8
484,Port Moresby,5,PG,1577743336,100,-9.47,147.16,75.2,4.7
485,Weligama,62,LK,1577743337,90,5.97,80.42,72.72,2.08
486,Taoudenni,0,ML,1577743339,30,22.68,-3.98,58.14,12.57
487,Lively,1,US,1577743340,25,33.6,-99.18,53.01,17.22
488,Stonehaven,2,GB,1577743341,75,56.96,-2.22,41.0,9.17
489,Santa Rosa,54,AR,1577743342,59,-36.62,-64.29,85.53,13.47
490,Mae Sai,90,MM,1577743343,100,20.44,99.89,60.8,2.68
491,Portland,90,US,1577743154,79,43.66,-70.25,28.0,4.7
492,Tautira,75,PF,1577743346,70,-17.73,-149.15,86.0,17.22
493,Mayumba,63,GA,1577743347,85,-3.44,10.65,81.36,5.84
494,Olds,20,CA,1577743350,68,51.79,-114.11,41.0,3.36
495,Gulmarg,100,IN,1577743351,51,34.05,74.39,24.17,2.28
496,Alta Floresta,75,BR,1577743352,94,-9.87,-56.08,75.2,2.24
497,Caravelas,35,BR,1577743354,72,-17.73,-39.27,77.85,7.92
498,Abonnema,38,NG,1577743355,83,4.71,6.79,75.2,6.46
499,Gorom-Gorom,33,BF,1577743356,11,14.45,-0.24,69.1,8.52
500,Axim,100,GH,1577743357,81,4.87,-2.24,79.97,3.09
501,Jurmala,90,LV,1577743359,87,56.97,23.77,46.4,8.05
502,Ambilobe,97,MG,1577743360,92,-13.19,49.05,75.56,1.77
503,Paragominas,55,BR,1577743361,93,-3.0,-47.35,77.2,3.87
504,Zyryanka,0,RU,1577743362,93,65.73,150.89,-26.99,6.35
505,Antofagasta,40,CL,1577743289,73,-23.65,-70.4,69.8,13.87
506,Port Macquarie,0,AU,1577743364,60,-31.43,152.91,78.01,8.05
507,Havoysund,75,NO,1577743365,54,71.0,24.66,28.4,28.86
508,Calama,0,CL,1577743366,15,-22.46,-68.93,75.2,33.33
509,Nanyuki,0,KE,1577743367,79,0.01,37.07,56.79,6.55
510,Maningrida,100,AU,1577743368,77,-12.05,134.23,82.26,2.26
511,Dunedin,0,NZ,1577743289,72,-45.87,170.5,61.0,18.01
512,Hanstholm,100,DK,1577743371,94,57.12,8.61,44.01,8.99
513,Strathmore,20,CA,1577743329,55,51.04,-113.4,41.0,7.45
514,Machida,40,JP,1577743373,81,35.56,139.44,46.4,3.36
515,Rock Springs,1,US,1577743185,85,41.59,-109.2,10.4,3.29
516,Natal,75,BR,1577743114,78,-5.81,-35.21,80.6,11.41
517,Moose Factory,40,CA,1577743376,72,51.26,-80.61,14.0,23.04
518,Belyy Yar,100,RU,1577743378,77,53.6,91.39,5.0,1.16
519,Catabola,99,AO,1577743379,95,-12.14,17.29,66.09,5.48
520,Ubauro,0,PK,1577743380,18,28.16,69.73,51.8,7.02
521,San Rafael,33,AR,1577743381,24,-34.61,-68.33,91.13,3.27
522,Kidal,27,ML,1577743384,17,18.44,1.41,63.3,11.05
523,Khiv,85,RU,1577743385,91,41.75,47.93,30.04,0.98
524,Whitehorse,40,CA,1577743386,95,60.72,-135.06,34.0,16.11
525,Canmore,1,CA,1577743220,44,51.09,-115.35,39.0,13.87
